model,fn,ece,ece_lo,ece_hi,mce,brier,brier_lo,brier_hi,nll,split
nohidden,0.25,0.02379947678998502,0.02365779144444714,0.02396586845738848,0.10162568092346191,0.03815843,0.038015068,0.038311236,0.14893945,4
nohidden,0.5,0.025625094182919084,0.02547470520960363,0.025799199268574217,0.09637808799743652,0.054722507,0.054531857,0.054952744,0.19339523,4
nohidden,0.75,0.03041108411713588,0.030218187411800188,0.030615817228167932,0.08498555421829224,0.070822224,0.07058464,0.07111468,0.24229366,4
nohidden,0.9,0.04005319846230578,0.039801964450748815,0.04031587842380323,0.08361485600471497,0.08429004,0.083984286,0.084648594,0.2876405,4
hidden,0.0,0.03894122058685595,0.03871952986790872,0.039218617443371184,0.4428912401199341,0.027830327,0.027668476,0.028014725,0.14323433,5
hidden,0.1,0.03600356150942541,0.03586096333025089,0.03617870928422254,0.28693339228630066,0.040235,0.040116284,0.04037761,0.19048862,5
hidden,0.25,0.038548333458391856,0.03840628303173022,0.03869692047262734,0.19616395235061646,0.05610315,0.055950746,0.05624791,0.24555391,5
hidden,0.5,0.04877225171676312,0.0485524196113965,0.04897057061911954,0.12768590450286865,0.08252763,0.08230474,0.0827527,0.3275821,5
hidden,0.75,0.06397287239848917,0.06371779876507634,0.06422234117562431,0.13008195161819458,0.10832752,0.10803514,0.1086295,0.416422,5
hidden,0.9,0.08012429990904253,0.07977877792132544,0.08043754848568124,0.14932388812303543,0.12762354,0.127278,0.12796435,0.49834403,5
nohidden,0.0,0.012053304508170716,0.011960188023560822,0.012150782015647382,0.09784144163131714,0.010997695,0.010938356,0.011052378,0.08737544,5
nohidden,0.1,0.028493522157097665,0.028402951183328955,0.028608689355635486,0.1079670786857605,0.03515224,0.035061445,0.03524208,0.19548927,5
nohidden,0.25,0.035043545079894184,0.03488219271240682,0.035200152131654346,0.1217430830001831,0.052777153,0.052633844,0.052926894,0.23054215,5
nohidden,0.5,0.04143173843574053,0.04122350408402111,0.04160237426988424,0.09465068578720093,0.07723439,0.07702706,0.07744587,0.30029485,5
nohidden,0.75,0.051656438632276196,0.05139532263834676,0.05186541037067855,0.1105184555053711,0.10060476,0.10033012,0.10086609,0.37449995,5
nohidden,0.9,0.06216364359120173,0.061871170033510094,0.06244113977438263,0.10938742756843567,0.115711495,0.11541121,0.11601745,0.43050644,5
hidden,0.0,0.00809014167875623,0.007991039216360858,0.008163693642877444,0.06532302498817444,0.007920092,0.0078665055,0.007965911,0.035767265,6
hidden,0.1,0.019448490400965447,0.019308350580648264,0.01955743991215862,0.06159663200378418,0.024883686,0.024780305,0.024973674,0.11687523,6
hidden,0.25,0.02411744605062073,0.023966854108484075,0.024251247440573078,0.12717866897583008,0.03753808,0.03736834,0.03763687,0.14427489,6
hidden,0.5,0.028418023161787893,0.02823253024302852,0.02858606079568669,0.12718170881271362,0.054832406,0.054588936,0.055011775,0.19541608,6
hidden,0.75,0.035763272280453624,0.03553205166606029,0.03598940497966946,0.11904251575469971,0.071604356,0.071272805,0.071832545,0.24817736,6
hidden,0.9,0.04241517543132729,0.042099042400601944,0.04266196257813757,0.08171708881855011,0.083987065,0.0835587,0.08428442,0.29162115,6
nohidden,0.0,0.007966107360769878,0.007882837920374166,0.00803113609111716,0.0704750120639801,0.0071572973,0.007117413,0.007192014,0.035772365,6
nohidden,0.1,0.020129526413927772,0.01999649456094399,0.020237904506205943,0.06648606061935425,0.025152694,0.02502413,0.025244014,0.13172857,6
nohidden,0.25,0.024659434217998658,0.024505737671092043,0.024793075065132508,0.117745041847229,0.037521046,0.037339896,0.037642423,0.14692044,6
nohidden,0.5,0.025566014044759645,0.02539668657874522,0.025706617597840906,0.0956038236618042,0.05314547,0.05289084,0.05332469,0.18814032,6
nohidden,0.75,0.030023669275339848,0.029805444227682658,0.03023776143928969,0.08406788110733032,0.06870227,0.068373635,0.06892474,0.2356291,6
nohidden,0.9,0.03835918606274843,0.03803482333080374,0.03860587376621925,0.07946339249610901,0.08143736,0.081017114,0.08172136,0.27858087,6
hidden,0.0,0.0059162088767263235,0.005856969746598683,0.005983109439129824,0.07194393873214722,0.005943728,0.005911128,0.0059781894,0.02769916,7
hidden,0.1,0.019715234014433803,0.01962526540971807,0.019836883144473558,0.07752543687820435,0.025833378,0.025767056,0.02591614,0.12174347,7
hidden,0.25,0.024429643218926822,0.02430699770744414,0.024541449058817083,0.1525118350982666,0.04024935,0.040158864,0.040347304,0.15007505,7
hidden,0.5,0.027033783976035508,0.026900578312883283,0.027173615858602587,0.12087750434875488,0.059373356,0.059248988,0.059509177,0.20354989,7
hidden,0.75,0.035198142410260765,0.03502652883119297,0.03535513369346839,0.13005423545837402,0.07850126,0.07833779,0.07866153,0.2607237,7
hidden,0.9,0.044092674643573034,0.04390066664593346,0.04426531414618867,0.08708272874355316,0.09301433,0.09283036,0.09322378,0.30844608,7
nohidden,0.0,0.006402949808489867,0.006350874859979858,0.006457857794260739,0.08546572923660278,0.006096646,0.006069377,0.006123636,0.03120684,7
