model,fn,ece,ece_lo,ece_hi,mce,brier,brier_lo,brier_hi,nll,split
hidden,0.1,0.01006909732844209,0.00973127562900102,0.010444468893041011,0.04084029793739319,0.015115107,0.014969491,0.0152851,0.056611728,10
hidden,0.25,0.01338448691422846,0.013002644246738157,0.013813945073917352,0.03439593315124512,0.022816228,0.02258138,0.023055892,0.08350054,10
hidden,0.5,0.0143410301713238,0.013881807599370499,0.014758304331550723,0.05386853218078613,0.03242897,0.032074872,0.03274292,0.114873126,10
hidden,0.75,0.01797876714523529,0.01742981791434289,0.018460960485611886,0.08837491273880005,0.04172128,0.04117773,0.042199746,0.14482887,10
hidden,0.9,0.02174383900849324,0.021160046540741582,0.022454021227309814,0.05500936508178711,0.048060805,0.04745191,0.048688594,0.16795923,10
nohidden,0.0,0.010732672118851665,0.010432454590527633,0.011060054409489047,0.10700946301221848,0.0077154874,0.0075555057,0.007889889,0.03084892,10
nohidden,0.1,0.009589107376449411,0.009264889515773131,0.009935678889216853,0.03620004653930664,0.013684107,0.013543811,0.013837685,0.05275431,10
nohidden,0.25,0.013265623988492736,0.012885726137385731,0.013672591788561403,0.01488429307937622,0.021660987,0.02141912,0.02190365,0.080231726,10
nohidden,0.5,0.013544518947100829,0.01314846062189561,0.013899684202932182,0.01868116855621338,0.03090937,0.030538796,0.031204885,0.10974995,10
nohidden,0.75,0.015503262124110921,0.015040379117487372,0.015934644002795303,0.030663728713989258,0.039308853,0.038849298,0.03973824,0.1367924,10
nohidden,0.9,0.018534098286206554,0.018031034652164886,0.019153175284382366,0.038893312215805054,0.044739377,0.044183463,0.04527052,0.15494531,10
