COG_ID	input_prob	mean_actual	sd_actual	mean_>0	sd_>0	mean_>0.01	sd_>0.01	mean_>0.04	sd_>0.04	mean_>0.099	sd_>0.099
COG3236	0.0000	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0003	0.0003	0.0011	0.0010
COG3237	0.0000	0.0361	0.0200	0.0275	0.0119	0.0090	0.0057	0.0027	0.0013	0.0014	0.0008
COG3238	0.0000	0.3737	0.1644	0.4763	0.1772	0.2549	0.1602	0.0334	0.0152	0.0099	0.0047
COG3239	0.0400	0.0292	0.0113	0.1312	0.0669	0.0697	0.0376	0.0043	0.0018	0.0056	0.0015
COG3240	0.0000	0.0160	0.0136	0.0110	0.0127	0.0059	0.0048	0.0051	0.0021	0.0085	0.0029
COG3241	0.0000	0.0002	0.0003	0.0002	0.0002	0.0005	0.0006	0.0010	0.0008	0.0014	0.0009
COG3242	0.0000	0.0236	0.0469	0.0209	0.0467	0.0254	0.0525	0.0311	0.0615	0.0244	0.0459
COG3243	0.0000	0.0488	0.0501	0.0566	0.0751	0.0275	0.0310	0.0161	0.0107	0.0190	0.0102
COG3245	0.0000	0.0040	0.0039	0.0035	0.0036	0.0039	0.0045	0.0051	0.0043	0.0037	0.0042
COG3246	0.0000	0.5826	0.1584	0.6392	0.1453	0.2794	0.1462	0.0835	0.0338	0.0611	0.0570
COG3247	0.0000	0.0188	0.0089	0.0143	0.0062	0.0220	0.0140	0.0218	0.0137	0.0213	0.0117
COG3248	0.0000	0.0031	0.0015	0.0052	0.0027	0.0026	0.0015	0.0038	0.0019	0.0032	0.0015
COG3249	0.0000	0.0058	0.0181	0.0077	0.0242	0.0054	0.0160	0.0060	0.0174	0.0068	0.0179
COG3250	0.0000	0.2410	0.1112	0.2074	0.0890	0.2367	0.0895	0.1511	0.0631	0.1294	0.0516
COG3251	0.0000	0.0131	0.0095	0.0152	0.0115	0.0024	0.0009	0.0009	0.0004	0.0004	0.0002
COG3252	0.0100	0.0810	0.0597	0.2060	0.1489	0.0213	0.0210	0.0085	0.0075	0.0049	0.0050
COG3253	0.0000	0.0022	0.0012	0.0019	0.0012	0.0011	0.0006	0.0010	0.0006	0.0014	0.0008
COG3254	0.0000	0.0687	0.0728	0.0653	0.0637	0.0260	0.0205	0.0108	0.0080	0.0070	0.0048
COG3255	0.0000	0.0824	0.0464	0.0591	0.0308	0.0534	0.0328	0.0429	0.0302	0.0102	0.0036
COG3256	0.0000	0.3742	0.0906	0.5818	0.1146	0.1539	0.0729	0.0544	0.0337	0.0084	0.0048
COG3257	0.0000	0.0484	0.0289	0.0533	0.0304	0.0152	0.0084	0.0026	0.0013	0.0014	0.0005
COG3258	0.0000	0.0114	0.0051	0.0125	0.0055	0.0102	0.0041	0.0122	0.0062	0.0049	0.0014
COG3259	0.0100	0.8332	0.0898	0.9563	0.0197	0.5089	0.1481	0.5124	0.0930	0.1916	0.0922
COG3260	0.0800	0.9061	0.0481	0.9728	0.0134	0.9695	0.0127	0.8995	0.0404	0.1959	0.1060
COG3261	0.0200	0.9588	0.0233	0.9948	0.0035	0.9787	0.0092	0.8088	0.0562	0.1991	0.0959
