COG_ID	input_prob	mean_actual	sd_actual	mean_>0	sd_>0	mean_>0.01	sd_>0.01	mean_>0.04	sd_>0.04	mean_>0.099	sd_>0.099
COG1673	0.0000	0.0450	0.0317	0.1361	0.0588	0.0697	0.0435	0.0323	0.0259	0.0305	0.0325
COG1674	1.0000	0.8625	0.1841	0.9454	0.1144	0.8588	0.1991	0.8800	0.1666	0.8617	0.1499
COG1675	0.0000	0.0227	0.0273	0.0346	0.0349	0.0337	0.0491	0.0207	0.0282	0.0225	0.0281
COG1676	0.0000	0.0056	0.0053	0.0066	0.0069	0.0069	0.0115	0.0045	0.0078	0.0044	0.0067
COG1677	1.0000	0.9994	0.0008	0.9998	0.0003	0.9988	0.0025	0.9993	0.0010	0.9992	0.0010
COG1678	0.5734	0.0207	0.0456	0.0437	0.1324	0.0594	0.1644	0.0359	0.0860	0.0409	0.0928
COG1679	0.0000	0.0251	0.0121	0.0986	0.0681	0.0276	0.0157	0.0126	0.0095	0.0093	0.0065
COG1680	1.0000	0.8275	0.2181	0.9945	0.0105	0.9245	0.1390	0.8884	0.1474	0.8255	0.1831
COG1681	0.0000	0.0119	0.0052	0.0196	0.0103	0.0140	0.0094	0.0107	0.0063	0.0081	0.0040
COG1682	1.0000	0.3215	0.2319	0.3109	0.2706	0.2649	0.2757	0.3238	0.2481	0.3244	0.2381
COG1683	0.9999	0.9782	0.0188	0.9899	0.0124	0.9761	0.0197	0.9428	0.0459	0.9553	0.0405
COG1684	1.0000	0.9995	0.0007	0.9981	0.0037	0.9987	0.0033	0.9996	0.0009	0.9997	0.0005
COG1685	0.0000	0.0006	0.0005	0.0007	0.0006	0.0006	0.0009	0.0004	0.0006	0.0003	0.0004
COG1686	0.9966	0.1153	0.2963	0.1120	0.2913	0.1860	0.2914	0.1486	0.2946	0.1110	0.2909
COG1687	0.0000	0.0008	0.0008	0.0029	0.0056	0.0011	0.0009	0.0010	0.0006	0.0009	0.0005
COG1688	0.4579	0.9426	0.1118	0.9970	0.0053	0.9844	0.0329	0.9851	0.0270	0.9765	0.0411
COG1689	0.0000	0.1431	0.0623	0.2642	0.1228	0.1352	0.0532	0.0970	0.0367	0.0726	0.0291
COG1690	1.0000	0.9996	0.0005	1.0000	0.0000	0.9997	0.0005	0.9991	0.0015	0.9983	0.0021
COG1691	1.0000	0.9983	0.0037	0.9999	0.0002	0.9983	0.0038	0.9983	0.0036	0.9972	0.0059
COG1692	1.0000	0.9968	0.0040	0.9984	0.0019	0.9924	0.0133	0.9912	0.0141	0.9948	0.0072
COG1693	0.0000	0.3710	0.1475	0.5398	0.1807	0.3525	0.1351	0.2923	0.1285	0.2582	0.1243
COG1694	1.0000	0.9986	0.0024	0.9997	0.0007	0.9988	0.0033	0.9998	0.0004	0.9996	0.0006
COG1695	1.0000	0.6996	0.1487	0.8441	0.2064	0.7807	0.1680	0.7272	0.1367	0.6756	0.1496
COG1696	0.9946	0.1721	0.2825	0.3518	0.2771	0.1313	0.2858	0.1232	0.2640	0.1380	0.2591
COG1697	0.0060	0.1051	0.0725	0.6367	0.1784	0.0265	0.0153	0.0199	0.0106	0.0213	0.0136
COG1698	0.0000	0.0029	0.0024	0.0027	0.0024	0.0026	0.0037	0.0021	0.0029	0.0019	0.0023
COG1699	1.0000	0.9998	0.0002	0.9992	0.0013	0.9997	0.0003	0.9998	0.0002	0.9998	0.0002
COG1700	0.0000	0.1612	0.1856	0.7876	0.2098	0.2193	0.1166	0.0913	0.0787	0.0602	0.0836
COG1701	0.0000	0.0115	0.0069	0.0165	0.0148	0.0107	0.0093	0.0097	0.0069	0.0098	0.0063
COG1702	0.9998	0.9784	0.0220	0.8198	0.1975	0.9658	0.0377	0.9835	0.0164	0.9914	0.0095
