COG_ID	input_prob	input_present	candidate	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus	anchor_support
COG0151	1	1	1	0.99865	0.00100305	0.996622	0.00261344	0.993358	0.00598987	0.00202864	0.00529253	3.46946	0.996531	1	0.978407
COG0152	0.9998	1	1	0.999013	0.0013393	0.997542	0.00269092	0.995148	0.00653478	0.0014717	0.00386584	3.94447	0.993354	1	0.970446
COG0153	0.9981	1	1	0.721632	0.266945	0.587456	0.304806	0.457791	0.314377	0.134177	0.263842	0.224809	0.971892	1	0.0392794
COG0154	1	1	1	0.99497	0.00964395	0.98926	0.0177319	0.984722	0.0263764	0.00570977	0.0102475	2.34113	0.999583	1	0.999491
COG0155	0.9991	1	1	0.0803111	0.15995	0.0239249	0.0528959	0.00572098	0.0118756	0.0563862	0.0745902	-4.83876	0.65567	0.66875	0.000788429
COG0156	1	1	1	0.982816	0.0220192	0.96408	0.0434734	0.935796	0.0772706	0.0187361	0.0470203	2.36229	0.994579	1	0.930635
COG0157	1	1	1	0.995266	0.00482075	0.988086	0.00956467	0.980783	0.0170987	0.00718021	0.0144835	3.57809	0.989112	1	0.0498034
COG0158	0.2689	1	1	0.00605468	0.00787959	0.00456091	0.00619434	0.00198582	0.00370736	0.00149377	0.00406886	-4.9035	0.0911725	0.01875	0.000590399
COG0159	0.9992	1	1	0.995565	0.00952593	0.985643	0.035361	0.964477	0.0949866	0.00992191	0.0310875	2.61335	0.995101	1	0.797544
COG0160	1	1	1	0.83382	0.143926	0.724104	0.143142	0.604983	0.148868	0.109716	0.228837	0.672012	0.986024	1	0.782982
COG0161	0.9992	1	1	0.265051	0.181738	0.149704	0.115057	0.0700388	0.0869177	0.115346	0.195012	-2.68649	0.728051	0.796875	0.0423961
COG0162	1	1	1	0.999743	0.000143086	0.998426	0.0011572	0.99259	0.00798813	0.00131685	0.00715268	2.2621	0.993695	1	0.996197
COG0163	0.9998	1	1	0.996525	0.00305875	0.988796	0.00932274	0.975491	0.0285077	0.00772935	0.0210344	4.39834	0.99042	1	0.647492
COG0164	1	1	1	0.987378	0.00987148	0.932656	0.0554139	0.782901	0.178376	0.0547215	0.204477	-1.01748	0.986192	1	0.998112
COG0165	0.9998	1	1	0.996918	0.00806853	0.990461	0.0237813	0.9756	0.0643732	0.00645733	0.0213177	2.53563	0.998562	1	0.806857
COG0166	1	1	1	0.845929	0.171119	0.73174	0.264432	0.599005	0.327978	0.114189	0.246924	-1.21932	0.994685	1	0.252642
COG0167	1	1	1	0.999942	8.32151e-05	0.999671	0.000565347	0.999032	0.00192989	0.000270963	0.000909925	5.12858	0.99937	1	0.975104
COG0168	1	1	1	0.9973	0.00230414	0.990142	0.00837014	0.981327	0.0160255	0.0071578	0.0159727	3.57282	0.986102	1	0.984498
COG0169	1	1	1	0.998691	0.00173888	0.99695	0.00473454	0.992763	0.0132901	0.00174063	0.00592744	3.43766	0.997878	1	0.766232
COG0170	0.9984	1	1	0.989353	0.0133336	0.958015	0.0362351	0.848492	0.130076	0.0313372	0.14086	3.82093	0.762952	0.809375	0.0279689
COG0171	1	1	1	0.99941	0.00064757	0.998721	0.00126681	0.996465	0.00511107	0.000689268	0.00294489	3.86261	0.996409	1	0.981331
COG0172	1	1	1	0.999424	0.000517585	0.997938	0.00145395	0.991735	0.00711782	0.001486	0.007689	2.04643	0.996858	1	0.995736
COG0173	1	1	1	0.999816	0.000148675	0.999075	0.000883058	0.99743	0.00268912	0.000741243	0.00238615	3.9237	0.998033	1	0.999649
COG0174	1	1	1	0.995765	0.00352608	0.99227	0.00649455	0.988392	0.0138364	0.00349444	0.00737303	3.1728	0.996776	1	0.919854
COG0175	0.9999	1	1	0.718402	0.199399	0.621446	0.248926	0.48882	0.250844	0.0969554	0.229582	-0.0888115	0.972331	0.996875	0.0124868
COG0176	1	1	1	0.996001	0.00317188	0.98976	0.00995742	0.982522	0.0209465	0.00624138	0.0134793	3.48708	0.992976	1	0.94816
COG0177	1	1	1	0.996481	0.00834117	0.987426	0.0273888	0.963041	0.0812813	0.0090552	0.0334401	1.07866	0.998231	1	0.99122
COG0178	1	1	1	0.956556	0.0470233	0.894225	0.0958178	0.733332	0.21322	0.0623311	0.223224	-1.65262	0.998845	1	0.983355
COG0179	0.9999	1	1	0.731353	0.18211	0.620222	0.23745	0.505059	0.284572	0.11113	0.226294	-0.351533	0.997924	1	0.050122
COG0180	1	1	1	0.999945	5.52949e-05	0.999663	0.000334356	0.998333	0.00156059	0.000281692	0.00161183	3.50396	0.995323	1	0.998162
COG0181	1	1	1	0.997545	0.00284378	0.993422	0.00636286	0.988234	0.0136238	0.00412273	0.00931078	4.03414	0.996822	1	0.657667
COG0182	1	1	1	0.999991	1.91214e-05	0.999977	4.21217e-05	0.999943	7.31796e-05	1.49012e-05	4.83394e-05	10.1449	0.999571	1	0.989636
COG0183	1	1	1	0.62329	0.308376	0.539812	0.301922	0.457859	0.32425	0.0834778	0.16543	-1.11979	0.997815	1	0.0340208
COG0184	1	1	1	0.999959	3.36238e-05	0.999666	0.000322937	0.998598	0.0013478	0.00029254	0.00136113	3.89202	0.995843	1	0.999634
