COG_ID	input_prob	input_present	candidate	truth	known_fp	true_input	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG2386	1	1	1	0	1	0	0.850432	0	0.407808	0	0.0868238	0	0.442624	0.763609	-1.64261	0.239857	0.15625
COG2450	1	1	1	1	0	1	0.00278428	0	0.000555873	0	0.000104517	0	0.00222841	0.00267977	-5.15128	0.136494	0.15625
COG2510	1	1	1	1	0	1	0.909441	0	0.666238	0	0.305885	0	0.243203	0.603556	0.607024	0.484557	0.4375
COG2513	1	1	1	0	1	0	0.906829	0	0.683898	0	0.349547	0	0.222931	0.557281	-0.0076825	0.490562	0.53125
COG2514	1	1	1	0	1	0	0.896387	0	0.641523	0	0.254418	0	0.254864	0.641969	0.652779	0.408222	0.4375
COG2519	1	1	1	1	0	1	0.905377	0	0.757495	0	0.549921	0	0.147882	0.355456	1.24806	0.691989	0.75
COG2609	1	1	1	0	1	0	0.189129	0	0.0911749	0	0.033222	0	0.0979545	0.155907	-2.78182	0.13058	0
COG2755	1	1	1	0	1	0	0.987495	0	0.955678	0	0.865396	0	0.0318167	0.122099	0.548255	0.815011	0.9375
COG2759	1	1	1	0	1	0	0.990182	0	0.952665	0	0.816838	0	0.0375172	0.173343	1.53898	0.778006	0.875
COG2801	1	1	1	0	1	0	0.969286	0	0.898066	0	0.767769	0	0.0712199	0.201517	0.645702	0.783255	0.96875
COG2812	1	1	1	0	1	0	0.996795	0	0.990519	0	0.97252	0	0.00627661	0.0242751	1.08026	0.788677	0.78125
COG2834	1	1	1	1	0	1	0.912333	0	0.679453	0	0.336851	0	0.232881	0.575482	-0.918213	0.472004	0.53125
COG2848	1	1	1	1	0	1	0.615928	0	0.239271	0	0.0610762	0	0.376657	0.554852	-1.47638	0.305511	0.3125
COG2861	1	1	1	0	1	0	0.086291	0	0.0176806	0	0.004697	0	0.0686104	0.081594	-3.90909	0.053275	0
COG2862	1	1	1	0	1	0	0.281323	0	0.0913158	0	0.02325	0	0.190007	0.258073	-2.16432	0.0897146	0
COG2892	1	1	1	1	0	1	0.000323862	0	5.5939e-05	0	9.56655e-06	0	0.000267923	0.000314295	-7.21599	0.0598734	0.0625
COG2914	1	1	1	0	1	0	0.00559065	0	0.00205064	0	0.000690013	0	0.00354001	0.00490063	-5.5707	0.00356836	0
COG2949	1	1	1	0	1	0	0.183368	0	0.0966465	0	0.0368657	0	0.0867215	0.146502	-1.29055	0.144835	0.0625
