family,fn,fp,MCC_mean,MCC_std,ece_mean,ece_std,n
nohidden_HO_T20_mixFTfpmarginalhq,0.0,0.025,0.3615,0.296,0.2313,0.1233,10
nohidden_HO_T20_mixFTfpmarginalhq,0.0,0.05,0.3715,0.2916,0.2283,0.1233,10
nohidden_HO_T20_mixFTfpmarginalhq,0.0,0.1,0.3875,0.2821,0.2253,0.1207,10
nohidden_HO_T20_mixFTfpmarginalhq,0.0,0.2,0.4078,0.2502,0.2309,0.1051,10
nohidden_HO_T20_mixFTfpmarginalhq,0.1,0.01,0.3534,0.2683,0.2255,0.1144,10
nohidden_HO_T20_mixFTfpmarginalhq,0.1,0.025,0.3638,0.2635,0.2221,0.1147,10
nohidden_HO_T20_mixFTfpmarginalhq,0.1,0.05,0.3784,0.2563,0.2174,0.1151,10
nohidden_HO_T20_mixFTfpmarginalhq,0.1,0.1,0.402,0.2394,0.2123,0.1117,10
nohidden_HO_T20_mixFTfpmarginalhq,0.1,0.2,0.4676,0.1747,0.2165,0.0881,10
nohidden_HO_T20_mixFTfpmarginalhq,0.2,0.01,0.3707,0.2287,0.2111,0.1048,10
nohidden_HO_T20_mixFTfpmarginalhq,0.2,0.025,0.3872,0.2215,0.2057,0.1054,10
nohidden_HO_T20_mixFTfpmarginalhq,0.2,0.05,0.4107,0.2087,0.1988,0.1047,10
nohidden_HO_T20_mixFTfpmarginalhq,0.2,0.1,0.4544,0.1769,0.1919,0.0958,10
nohidden_HO_T20_mixFTfpmarginalhq,0.2,0.2,0.5115,0.1237,0.2091,0.0825,10
nohidden_HO_T20_mixFTfpmarginalhq,0.3,0.01,0.4292,0.1869,0.1825,0.0986,10
nohidden_HO_T20_mixFTfpmarginalhq,0.3,0.025,0.4508,0.1806,0.1766,0.0987,10
nohidden_HO_T20_mixFTfpmarginalhq,0.3,0.05,0.4781,0.1689,0.1736,0.094,10
nohidden_HO_T20_mixFTfpmarginalhq,0.3,0.1,0.5046,0.1434,0.1794,0.0834,10
nohidden_HO_T20_mixFTfpmarginalhq,0.3,0.2,0.5121,0.103,0.1957,0.0779,10
nohidden_HO_T20_mixFTfpmarginalhq,0.4,0.01,0.4797,0.1772,0.1604,0.0968,10
nohidden_HO_T20_mixFTfpmarginalhq,0.4,0.025,0.4899,0.171,0.1608,0.093,10
nohidden_HO_T20_mixFTfpmarginalhq,0.4,0.05,0.4991,0.1591,0.1631,0.0867,10
nohidden_HO_T20_mixFTfpmarginalhq,0.4,0.1,0.5059,0.1342,0.1687,0.0771,10
nohidden_HO_T20_mixFTfpmarginalhq,0.4,0.2,0.5046,0.0921,0.1781,0.0694,10
nohidden_HO_T20_mixFTfpmarginalhq,0.5,0.01,0.4874,0.1695,0.1515,0.0917,10
nohidden_HO_T20_mixFTfpmarginalhq,0.5,0.025,0.493,0.1635,0.152,0.0879,10
nohidden_HO_T20_mixFTfpmarginalhq,0.5,0.05,0.4981,0.1528,0.1539,0.0817,10
nohidden_HO_T20_mixFTfpmarginalhq,0.5,0.1,0.4987,0.1312,0.1586,0.071,10
nohidden_HO_T20_mixFTfpmarginalhq,0.5,0.2,0.4873,0.095,0.1579,0.0583,10
nohidden_HO_T20_mixFTfpmarginalhq,0.6,0.01,0.4887,0.1618,0.1446,0.0868,10
nohidden_HO_T20_mixFTfpmarginalhq,0.6,0.025,0.4926,0.1564,0.1452,0.083,10
nohidden_HO_T20_mixFTfpmarginalhq,0.6,0.05,0.4936,0.1473,0.1474,0.0766,10
nohidden_HO_T20_mixFTfpmarginalhq,0.6,0.1,0.486,0.1309,0.1502,0.0657,10
nohidden_HO_T20_mixFTfpmarginalhq,0.6,0.2,0.4401,0.1114,0.1384,0.0469,10
nohidden_HO_T20_mixFTfpmarginalhq,0.7,0.01,0.4873,0.1547,0.1407,0.082,10
nohidden_HO_T20_mixFTfpmarginalhq,0.7,0.025,0.4878,0.1498,0.1418,0.078,10
nohidden_HO_T20_mixFTfpmarginalhq,0.7,0.05,0.4833,0.142,0.1441,0.0717,10
nohidden_HO_T20_mixFTfpmarginalhq,0.7,0.1,0.4636,0.1314,0.1431,0.0617,10
nohidden_HO_T20_mixFTfpmarginalhq,0.7,0.2,0.272,0.0961,0.1658,0.0429,10
nohidden_HO_T20_mixFTfpmarginalhq,0.8,0.01,0.4778,0.1496,0.1392,0.078,10
nohidden_HO_T20_mixFTfpmarginalhq,0.8,0.025,0.4737,0.1449,0.141,0.0738,10
nohidden_HO_T20_mixFTfpmarginalhq,0.8,0.05,0.461,0.1379,0.143,0.0678,10
nohidden_HO_T20_mixFTfpmarginalhq,0.8,0.1,0.4089,0.1275,0.1405,0.0583,10
nohidden_HO_T20_mixFTfpmarginalhq,0.8,0.2,0.0759,0.0873,0.2154,0.0447,10
nohidden_HO_T20_mixFTfpmarginalhq,0.9,0.01,0.4433,0.1489,0.1383,0.0757,10
nohidden_HO_T20_mixFTfpmarginalhq,0.9,0.025,0.4273,0.1428,0.1414,0.0712,10
nohidden_HO_T20_mixFTfpmarginalhq,0.9,0.05,0.3825,0.1292,0.1491,0.0641,10
nohidden_HO_T20_mixFTfpmarginalhq,0.9,0.1,0.185,0.0931,0.1938,0.0533,10
nohidden_HO_T20_mixFTfpmarginalhq,0.9,0.2,0.0041,0.0676,0.2344,0.0408,10
nohidden_HO_T20_mixFTfpreal,0.0,0.01,0.3364,0.2869,0.2313,0.1079,10
nohidden_HO_T20_mixFTfpreal,0.0,0.025,0.3637,0.2677,0.224,0.1036,10
nohidden_HO_T20_mixFTfpreal,0.0,0.05,0.4182,0.231,0.2161,0.0973,10
nohidden_HO_T20_mixFTfpreal,0.0,0.1,0.4845,0.1811,0.2311,0.0863,10
nohidden_HO_T20_mixFTfpreal,0.0,0.2,0.4951,0.1534,0.268,0.0916,10
nohidden_HO_T20_mixFTfpreal,0.1,0.01,0.3969,0.2188,0.2056,0.0956,10
nohidden_HO_T20_mixFTfpreal,0.1,0.025,0.4471,0.1949,0.1984,0.0921,10
nohidden_HO_T20_mixFTfpreal,0.1,0.05,0.489,0.1727,0.2045,0.0857,10
