COG	Node_GCA-000006805.1_AP024487.1_0
COG1592	0.6099
COG1594	0.31
COG1598	0.86
COG1599	0.93
COG1601	0.97
COG1602	1
COG1603	0.61
COG1604	0.78
COG1605	0.01
COG1606	0.97
COG1608	0.66
COG1611	0.08
COG1614	0.97
COG1615	0.44
COG1617	0.11
COG1618	0.32
COG1619	0.01
COG1620	0.2
COG1621	0.01
COG1622	0.4234
COG1624	0.61
COG1625	0.15
COG1627	0.18
COG1628	0.84
COG1630	0.992776
COG1631	0.93
COG1632	0.61
COG1633	0.599629
COG1634	0.65
COG1635	0.92
COG1637	0.999302
COG1640	0.15
COG1641	0.79
COG1644	1
COG1645	0.68
COG1646	0.77
COG1648	0.63
COG1649	0.1
COG1650	0.89
COG1651	0.58
COG1653	0.0777279
COG1655	0.01
COG1656	0.84
COG1657	0.63
COG1658	1
COG1659	0.01
COG1661	0.01
COG1662	0.0298
COG1665	0.88
COG1667	0.27
COG1668	0.843462
COG1669	0.58
COG1670	0.029701
COG1672	0.979161
COG1673	0.5488
COG1675	0.89
COG1676	0.9321
COG1679	0.41
COG1680	0.06
COG1681	0.3
COG1682	0.86
COG1685	0.93
COG1688	0.943456
COG1689	0.27
COG1690	1
COG1691	0.97
COG1693	0.72
COG1695	0.99375
COG1697	0.76
COG1698	0.91
COG1701	0.81
COG1703	0.56
COG1704	0.17
COG1707	0.5446
COG1708	0.999964
COG1709	1
COG1711	0.9467
COG1712	0.96
COG1714	0.67
COG1715	0.6139
COG1716	0.36
COG1717	0.67
COG1718	1
COG1719	0.997822
COG1720	0.57
COG1721	0.895456
COG1722	0.1
COG1723	0.76
COG1724	0.770561
COG1725	0.02
COG1727	0.98
COG1730	0.98
COG1731	0.56
COG1732	0.32
COG1733	0.86
COG1735	0.03
COG1736	0.9
COG1739	0.03
COG1740	0.7
COG1741	0.16
COG1742	0.03
COG1743	0.63
COG1744	0.2575
COG1745	0.59
COG1746	0.99
COG1748	0.66
COG1750	1
COG1751	0.99
COG1753	0.981095
COG1756	0.56
COG1757	0.05
COG1758	1
COG1759	0.45
COG1761	0.69
COG1762	0.01
COG1763	0.78
COG1764	0.13
COG1765	0.927
COG1767	0.56
COG1769	0.0984
COG1771	0.22
COG1773	0.17137
COG1775	0.56
COG1776	0.35
COG1777	0.96
COG1779	0.63
COG1781	0.99
COG1782	1
COG1784	0.99
COG1785	0.04
COG1786	0.5
COG1788	0.73
COG1790	0.1
COG1793	0.9994
COG1794	0.337
COG1795	0.88
COG1796	0.08
COG1797	0.76
COG1798	0.75
COG1800	0.0595
COG1801	0.57
COG1802	0.03
COG1803	0.02
COG1804	0.03
COG1807	0.691282
COG1808	0.99
COG1809	0.68
COG1810	0.7056
COG1811	0.05
COG1812	0.99
COG1813	0.22
COG1814	0.785
COG1817	0.96
COG1818	0.7368
COG1819	0.34
COG1820	0.07
COG1821	0.04
COG1822	0.27
COG1824	0.03
COG1826	0.81
COG1828	0.96
COG1829	0.78
COG1830	0.4
COG1831	0.2
COG1832	0.57
COG1834	0.38
COG1836	1
COG1838	0.63
COG1840	0.4258
COG1841	0.77
COG1844	0.48
COG1846	0.811633
COG1848	0.999782
COG1849	0.1
COG1850	0.7
COG1852	0.88
COG1853	0.9532
COG1855	0.98
COG1856	0.08
COG1857	0.9412
COG1859	0.88
COG1860	0.56
COG1863	0.29
COG1865	0.83
COG1866	0.54
COG1867	0.97
COG1871	0.11
COG1872	0.87
COG1873	0.612
COG1874	0.01
COG1877	0.02
COG1878	0.01
COG1879	0.01
COG1880	0.87
COG1881	0.75
COG1883	0.19
COG1884	0.04
COG1885	0.35
COG1887	0.18
COG1888	0.33
COG1889	0.98
COG1890	0.98
COG1891	0.4
COG1892	0.47
COG1893	0.7
COG1894	0.21
COG1895	0.35
COG1896	0.8005
COG1898	0.42
COG1899	0.97
COG1900	0.9616
COG1901	0.98
COG1902	0.28
COG1903	0.34
COG1904	0.01
COG1905	0.09
COG1906	0.94
COG1907	0.76
COG1909	0.93
COG1910	0.4
COG1911	0.08
COG1912	0.96
COG1913	0.5
COG1914	0.0882
COG1915	1
COG1916	0.8812
COG1917	0.907623
COG1918	1
COG1920	0.96
COG1921	0.0199
COG1924	0.9946
COG1926	0.75
COG1927	0.12
COG1930	0.01
COG1931	1
COG1933	1
COG1935	0.58
COG1936	0.16
COG1937	0.01
COG1938	0.38
COG1940	0.54
COG1941	0.9685
COG1942	0.77
COG1943	0.07
COG1944	0.6733
COG1945	0.96
COG1948	0.47
COG1951	0.91
COG1955	0.89
COG1956	0.61
COG1957	0.09
COG1958	0.82
COG1960	0.965224
COG1961	0.68
COG1962	0.98
COG1964	0.97
COG1966	0.02
COG1967	0.1
COG1968	0.72
COG1970	0.78
COG1971	0.45
COG1973	0.1
COG1975	0.15
COG1976	1
COG1977	0.8911
COG1980	0.17
COG1982	0.02
COG1983	0.6
COG1984	0.02
COG1985	0.9216
COG1986	0.92
COG1988	0.71835
COG1989	0.964028
COG1990	0.08
COG1991	0.4756
COG1992	0.16
COG1993	0.87
COG1994	0.997975
COG1995	0.04
COG1996	0.27
COG1997	0.53
COG1998	0.21
COG2002	0.999998
COG2003	0.0397
COG2004	0.45
COG2005	0.64
COG2006	0.728
COG2007	0.96
COG2009	0.06
COG2012	0.79
COG2013	0.6
COG2014	0.8057
COG2016	0.91
COG2018	0.47
COG2019	0.94
COG2020	0.93
COG2021	0.09
COG2023	0.18
COG2024	0.98
COG2025	0.93
COG2026	0.934984
COG2027	0.01
COG2028	0.1
COG2029	0.11
COG2030	0.0397
COG2031	0.01
COG2033	0.0984
COG2034	0.840064
COG2036	0.145333
COG2037	0.92
COG2038	0.38
COG2039	0.29
COG2041	0.08
COG2042	0.73
COG2043	0.86
COG2044	0.8947
COG2045	0.78
COG2046	0.94
COG2047	1
COG2048	0.6931
COG2049	0.03
COG2050	0.09
COG2051	0.47
COG2053	0.92
COG2054	0.53
COG2055	0.94
COG2057	0.67
COG2058	0.05
COG2060	0.02
COG2061	0.92
COG2062	0.13
COG2064	1
COG2068	0.3
COG2069	0.98
COG2070	0.03
COG2071	0.08
COG2073	0.01
COG2074	0.83
COG2075	0.91
COG2078	0.74
COG2079	0.32
COG2080	0.19
COG2082	0.24
COG2083	0.98
COG2084	0.7792
COG2085	0.97
COG2086	0.9756
COG2089	0.72
COG2090	0.67
