COG	LBCA_alt
COG1636	0.999815
COG1638	0.998368
COG1639	0.991189
COG1640	0.999882
COG1641	0.999874
COG1647	0.990695
COG1648	0.999828
COG1651	0.971716
COG1654	0.999873
COG1655	0.791390
COG1656	0.940529
COG1660	0.998958
COG1661	0.996412
COG1663	0.993292
COG1666	0.999072
COG1668	0.905250
COG1669	0.999987
COG1674	0.999899
COG1677	0.999885
COG1680	0.981610
COG1682	0.999848
COG1684	0.999885
COG1686	0.804616
COG1690	0.999876
COG1691	0.999876
COG1692	0.999900
COG1694	0.999885
COG1695	0.999735
COG1696	0.959850
COG1699	0.999886
COG1702	0.999557
COG1703	0.999857
COG1704	0.999898
COG1706	0.999885
COG1708	1.000000
COG1720	0.972733
COG1722	0.999876
COG1724	0.999654
COG1728	0.985695
COG1734	0.998122
COG1738	0.928749
COG1741	0.988050
COG1744	0.924764
COG1749	0.999886
COG1758	0.989077
COG1760	0.745654
COG1762	0.999997
COG1763	0.645024
COG1765	0.999952
COG1766	0.999885
COG1773	0.999891
COG1775	0.892574
COG1776	0.970739
COG1778	0.995722
COG1785	0.813085
COG1792	0.999618
COG1796	0.999534
COG1797	0.914449
COG1799	0.634469
COG1802	0.623210
COG1804	0.984378
COG1814	0.996102
COG1815	0.999885
COG1820	0.992701
COG1825	0.999885
COG1826	0.999996
COG1828	0.999524
COG1830	0.733824
COG1832	0.999875
COG1837	0.999899
COG1838	0.999500
COG1840	0.998436
COG1841	0.999896
COG1842	0.935043
COG1843	0.999876
COG1845	0.894280
COG1846	0.998518
COG1847	0.999899
COG1848	0.999988
COG1852	0.802433
COG1853	0.999508
COG1858	0.695393
COG1861	0.883202
COG1862	0.999615
COG1863	0.999396
COG1866	0.999635
COG1868	0.999885
COG1871	0.999894
COG1872	0.999541
COG1875	0.991600
COG1877	0.963581
COG1878	0.999555
COG1881	0.998541
COG1883	0.915128
COG1884	0.999828
COG1886	0.999880
COG1893	0.999620
COG1894	1.000000
COG1898	0.999887
COG1899	0.997767
COG1902	0.999637
COG1905	0.999946
COG1908	0.993136
COG1912	0.998140
COG1914	0.999082
COG1918	0.999892
COG1921	0.999162
COG1922	0.999795
COG1923	0.996216
COG1924	0.998491
COG1925	0.997968
COG1929	0.941555
COG1932	0.993934
COG1937	0.986081
COG1940	1.000000
COG1942	0.930726
COG1945	0.999854
COG1947	0.999885
COG1950	0.989274
COG1951	0.999526
COG1959	1.000000
COG1960	1.000000
COG1961	0.883014
COG1963	0.945186
COG1966	0.999884
COG1968	0.999899
COG1970	0.971690
COG1971	0.772070
COG1972	0.986772
COG1974	0.999904
COG1975	0.999877
COG1977	0.997803
COG1985	0.999528
COG1987	0.999885
COG1989	0.999866
COG1993	0.920429
COG1994	1.000000
COG1995	0.890314
COG1999	0.908387
COG2001	0.999864
COG2003	0.999865
COG2008	0.980405
COG2014	0.577542
COG2018	0.969169
COG2020	0.999590
COG2021	0.999874
COG2022	0.998106
COG2025	0.997378
COG2027	0.633997
COG2030	0.930315
COG2033	0.999884
COG2038	0.998372
COG2041	0.919870
COG2045	0.562140
COG2046	0.997497
COG2048	0.997722
COG2050	0.997518
COG2052	0.985934
COG2059	0.996053
COG2062	0.999248
COG2063	0.999878
COG2064	0.999344
COG2065	0.999521
COG2068	0.999870
COG2070	0.979918
COG2071	0.992056
COG2077	0.985579
COG2078	0.999888
COG2080	0.999845
COG2081	0.999831
COG2086	0.999244
COG2087	0.998338
COG2088	0.999024
COG2089	0.991917
COG2094	0.994811
COG2095	0.999430
COG2096	0.997331
COG2103	0.990818
COG2104	0.999873
COG2107	0.832711
COG2109	0.999883
COG2110	0.999880
COG2111	0.997359
COG2120	0.999658
COG2121	0.994390
COG2127	0.571167
COG2129	0.999832
COG2131	0.999896
COG2133	0.998945
COG2146	0.932731
COG2148	0.999923
COG2151	0.998526
COG2152	0.946336
COG2154	0.999396
COG2161	0.995391
COG2172	0.999992
COG2176	0.923112
COG2177	0.999888
COG2182	0.677303
COG2183	0.999206
COG2185	0.999768
COG2189	0.999884
COG2191	0.526963
COG2192	0.993764
COG2193	0.997862
COG2195	0.999548
COG2198	0.999891
COG2201	0.999996
COG2202	0.969709
COG2203	1.000000
COG2204	1.000000
COG2205	0.999599
COG2207	0.990500
COG2211	0.838163
COG2212	0.998079
COG2217	0.999870
COG2220	0.999874
COG2222	0.923271
COG2230	0.931077
COG2231	0.997268
COG2234	0.999596
COG2239	0.999902
COG2252	0.999899
COG2253	0.999877
COG2255	0.999899
COG2256	0.999899
COG2257	0.999841
COG2259	0.996940
COG2262	0.999885
COG2264	0.999872
COG2265	0.999905
COG2270	0.749973
COG2309	0.999876
COG2316	0.999040
COG2326	0.992548
COG2327	0.953012
COG2332	0.964791
COG2336	0.531802
COG2337	0.999979
COG2344	0.999913
COG2355	0.942291
COG2358	0.913567
COG2359	0.952814
COG2362	0.869026
COG2367	0.516899
COG2373	0.999457
COG2377	0.999811
COG2379	0.996978
COG2385	0.999987
COG2386	0.948983
COG2391	0.998593
COG2402	0.941419
COG2403	0.825519
COG2414	0.999969
COG2509	0.997420
COG2518	0.999982
COG2605	0.568037
COG2606	0.576950
COG2608	0.909892
COG2703	0.999718
COG2716	0.760213
COG2720	0.816547
COG2723	0.998734
COG2738	0.953431
COG2759	0.999743
COG2768	0.999324
COG2804	1.000000
COG2805	1.000000
COG2812	0.999899
COG2818	0.924904
COG2820	0.878146
COG2825	0.999367
COG2827	0.999899
COG2835	0.991713
COG2843	0.997136
COG2861	0.990227
COG2864	0.884567
COG2868	0.995426
COG2870	0.999602
COG2873	0.998526
COG2876	0.999993
COG2877	0.993405
COG2878	0.999886
COG2884	0.999873
COG2885	0.999917
COG2890	0.999899
COG2891	0.948879
COG2893	0.842109
COG2894	0.668818
COG2895	0.875322
COG2896	0.999876
COG2897	0.693967
COG2905	0.991856
COG2908	0.757533
COG2929	0.874147
COG2963	0.999853
COG2980	0.655713
COG2984	0.998646
COG2986	0.999842
COG2987	0.967563
COG2998	0.945232
COG3005	0.577536
COG3027	0.791222
COG3031	0.585734
COG3086	0.993316
COG3093	0.989528
COG3118	0.999999
COG3156	0.799790
COG3167	0.994526
COG3177	0.999999
COG3216	0.536707
COG3221	0.999989
COG3222	0.857737
COG3225	0.989917
COG3260	0.995719
COG3264	0.781997
COG3267	0.947352
COG3276	0.999098
COG3288	0.988839
COG3294	0.962925
COG3303	0.755413
COG3330	0.993112
COG3359	0.997758
COG3383	0.999204
COG3411	0.715784
COG3426	0.805216
COG3437	1.000000
COG3457	0.684582
COG3467	0.658952
COG3481	0.998882
COG3494	0.995272
COG3580	0.851964
COG3599	0.997752
COG3604	0.783893
COG3608	0.768054
COG3634	0.990843
COG3635	0.998611
COG3640	0.600735
COG3653	0.996060
COG3654	0.992545
COG3696	0.794032
COG3705	0.997166
COG3716	0.968142
COG3745	0.997428
COG3746	0.966270
COG3808	0.999885
COG3809	0.943036
COG3829	0.987637
COG3845	0.674707
COG3852	0.954215
COG3857	0.998843
COG3869	0.958743
COG3875	0.995783
COG3880	0.954567
COG3894	0.994648
COG3920	0.988942
COG3951	0.997729
COG3956	0.999885
COG3958	0.999865
COG3959	0.999883
COG4108	0.501467
COG4122	0.744495
COG4123	0.927051
COG4149	0.979487
COG4166	0.988986
COG4177	0.999999
COG4191	1.000000
COG4206	0.999780
COG4231	0.999885
COG4232	0.988305
COG4237	0.927253
COG4252	0.999965
COG4262	0.993795
COG4576	0.999608
COG4577	0.999103
COG4585	0.999693
COG4586	0.673129
COG4589	0.999898
COG4591	1.000000
COG4603	0.660554
COG4608	0.999963
COG4624	0.999884
COG4632	0.709930
COG4641	0.756109
COG4656	0.999940
COG4657	0.999884
COG4658	0.999891
COG4659	0.999884
COG4660	0.999884
COG4662	0.937806
COG4747	0.974324
COG4783	0.999776
COG4786	1.000000
COG4796	0.999420
COG4799	0.999537
COG4826	0.635309
COG4869	0.593857
COG4953	0.967932
