COG_ID	category	name	combined_input	combined_out_post	combined_present	euryroot_ml_input	euryroot_ml_out_post	euryroot_ml_present	euryroot_unif_input	euryroot_unif_out_post	euryroot_unif_present	gld_min1_input	gld_min1_out_post	gld_min1_present	gld_min4_input	gld_min4_out_post	gld_min4_present
COG1372	LX	Intein/homing endonuclease	0.0000	0.2632	0	0.8246	0.7875	1	0.0000	0.2288	0	1.0000	0.7549	1	1.0000	0.8254	1
COG1373	R	Predicted ATPase, AAA+ superfamily	0.0050	0.8858	1	0.7900	0.9908	1	0.0000	0.4626	0	1.0000	0.9959	1	1.0000	0.9856	1
COG1374	J	Rbosome biogenesis protein Nip4, contains PUA domain	0.0150	0.6857	1	0.9500	0.9906	1	0.0400	0.4273	0	1.0000	0.9772	1	0.9979	0.9957	1
COG1376	M	Lipoprotein-anchoring transpeptidase ErfK/SrfK	0.0000	0.0006	0	0.0000	0.0000	0	0.0000	0.0008	0	0.0000	0.0001	0	0.0000	0.0000	0
COG1377	N	Flagellar biosynthesis protein FlhB	0.0000	0.0028	0	0.0000	0.0005	0	0.0000	0.0036	0	0.0000	0.0007	0	0.0000	0.0005	0
COG1378	K	Sugar-specific transcriptional regulator TrmB	0.0000	0.5872	1	0.3016	0.9570	1	0.0000	0.6214	1	1.0000	0.9993	1	1.0000	0.9962	1
COG1379	R	PHP family phosphoesterase with a Zn ribbon	0.1900	0.9463	1	0.9100	0.9938	1	0.0000	0.7797	1	1.0000	0.9398	1	0.9999	0.9555	1
COG1380	R	Putative effector of murein hydrolase LrgA, UPF0299 family	0.0000	0.0349	0	0.0200	0.0530	0	0.0000	0.0100	0	0.3617	0.4320	0	0.0009	0.0646	0
COG1381	L	Recombinational DNA repair protein RecO (RecF pathway)	0.0000	0.0003	0	0.0000	0.0000	0	0.0000	0.0003	0	0.0000	0.0000	0	0.0000	0.0000	0
COG1382	O	Prefoldin, chaperonin cofactor	0.0250	0.9895	1	0.9400	0.9998	1	0.0000	0.9240	1	1.0000	0.9999	1	0.9999	0.9999	1
COG1383	J	Ribosomal protein S17E	0.2400	0.9903	1	1.0000	0.9996	1	0.7000	0.9901	1	1.0000	0.9995	1	0.9999	0.9996	1
COG1384	J	Lysyl-tRNA synthetase, class I	0.1500	0.9870	1	0.9500	0.9981	1	0.0000	0.9192	1	1.0000	0.9975	1	0.9999	0.9975	1
COG1385	J	16S rRNA U1498 N3-methylase RsmE	0.0000	0.0004	0	0.0000	0.0000	0	0.0000	0.0005	0	0.0000	0.0000	0	0.0000	0.0000	0
COG1386	K	Chromosome segregation and condensation protein ScpB	0.3650	0.7667	1	1.0000	0.6863	1	0.8200	0.9664	1	1.0000	0.3440	0	0.9999	0.5231	1
COG1387	ER	Histidinol phosphatase or related hydrolase of the PHP family	0.0000	0.8185	1	0.1200	0.9911	1	0.0000	0.6903	1	1.0000	0.9994	1	0.9997	0.9939	1
COG1388	M	LysM repeat	0.0000	0.0129	0	0.0000	0.0008	0	0.0000	0.0178	0	0.0000	0.0009	0	0.0000	0.0004	0
COG1389	L	DNA topoisomerase VI, subunit B	0.0200	0.9781	1	0.7100	0.9985	1	0.0000	0.8999	1	1.0000	0.9998	1	1.0000	0.9996	1
COG1390	C	Archaeal/vacuolar-type H+-ATPase subunit E/Vma4	0.0050	0.9715	1	0.9500	0.9995	1	0.0200	0.9597	1	1.0000	0.9999	1	1.0000	0.9997	1
COG1391	O	Glutamine synthetase adenylyltransferase	0.0000	0.0039	0	0.0000	0.0015	0	0.0000	0.0039	0	0.0000	0.0068	0	0.0000	0.0052	0
COG1392	P	Phosphate transport regulator YkaA, distantly related to PhoU, UPF0111/DUF47 family	0.0250	0.9798	1	0.9900	0.9982	1	0.5500	0.9894	1	1.0000	0.9992	1	1.0000	0.9996	1
COG1393	P	Arsenate reductase or related protein, glutaredoxin family	0.0000	0.0012	0	0.0000	0.0000	0	0.0000	0.0007	0	0.0000	0.0000	0	0.0000	0.0000	0
COG1394	C	Archaeal/vacuolar-type H+-ATPase subunit D/Vma8	0.0200	0.9951	1	0.7900	0.9997	1	0.0100	0.9937	1	1.0000	1.0000	1	0.9999	0.9999	1
COG1395	K	Predicted transcriptional regulator	0.1300	0.9848	1	0.7800	0.9993	1	0.0100	0.9187	1	1.0000	0.9999	1	0.9989	0.9996	1
COG1396	K	Transcriptional regulator, contains XRE-family HTH domain	0.0000	0.0589	0	0.0100	0.0296	0	0.0000	0.0331	0	0.2740	0.1173	0	0.0023	0.0038	0
COG1397	O	ADP-ribosylglycohydrolase	0.0000	0.4427	0	0.0100	0.7153	1	0.0000	0.1949	0	1.0000	0.9807	1	0.0920	0.7742	1
COG1398	I	Fatty-acid desaturase	0.0000	0.0006	0	0.0000	0.0004	0	0.0000	0.0007	0	0.0000	0.0017	0	0.0000	0.0003	0
COG1399	J	23S rRNA accumulation protein YceD (essential in plants, uncharacterized in bacteria)	0.0000	0.0006	0	0.0000	0.0001	0	0.0000	0.0011	0	0.0000	0.0003	0	0.0000	0.0001	0
COG1400	U	Signal recognition particle subunit SEC65	0.0050	0.9957	1	1.0000	0.9999	1	0.4900	0.9950	1	1.0000	0.9999	1	0.9996	1.0000	1
COG1401	V	5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB	0.0050	0.4383	0	0.8700	0.6876	1	0.0300	0.1987	0	1.0000	0.9408	1	0.0374	0.3646	0
COG1402	H	Creatinine amidohydrolase/Fe(II)-dependent FAPy formamide hydrolase (riboflavin and F420 biosynthesis)	0.0000	0.8263	1	0.1800	0.8404	1	0.0000	0.7989	1	1.0000	0.9964	1	0.9999	0.9878	1
COG1403	V	5-methylcytosine-specific restriction endonuclease McrA	0.0000	0.0963	0	0.8130	0.2476	0	0.0100	0.1921	0	0.8304	0.4556	0	0.0062	0.0970	0
COG1404	O	Serine protease, subtilisin family	0.0000	0.7225	1	0.9684	0.9048	1	0.4000	0.8819	1	1.0000	0.8828	1	1.0000	0.8855	1
COG1405	K	Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB	0.0700	0.9993	1	0.8900	1.0000	1	0.0800	0.9991	1	1.0000	1.0000	1	1.0000	1.0000	1
COG1406	N	Chemotaxis protein CheX, a CheY~P-specific phosphatase	0.0000	0.0010	0	0.0000	0.0012	0	0.0000	0.0009	0	0.0000	0.0091	0	0.0000	0.0020	0
COG1407	R	Metallophosphoesterase superfamily enzyme	0.0000	0.9440	1	0.9600	0.9993	1	0.3700	0.9920	1	1.0000	0.9996	1	1.0000	0.9994	1
COG1408	R	Predicted phosphohydrolase, MPP superfamily	0.0000	0.0343	0	0.2900	0.0956	0	0.0000	0.0254	0	0.9997	0.5754	1	0.0080	0.0609	0
COG1409	T	3',5'-cyclic AMP phosphodiesterase CpdA	0.0400	0.7723	1	0.9601	0.7115	1	0.0700	0.7331	1	1.0000	0.8507	1	0.9998	0.7166	1
COG1410	E	Methionine synthase I, cobalamin-binding domain	0.0000	0.0517	0	0.0000	0.0422	0	0.0000	0.0449	0	0.9993	0.5885	1	0.0297	0.4854	0
COG1411	R	Uncharacterized conserved protein related to proFAR isomerase (HisA)	0.0250	0.8861	1	0.8400	0.9980	1	0.0400	0.6889	1	1.0000	0.9973	1	0.9715	0.9963	1
COG1412	J	rRNA-processing protein FCF1	0.0850	0.9957	1	0.9900	0.9999	1	0.5800	0.9955	1	1.0000	0.9999	1	0.9999	0.9999	1
COG1413	R	HEAT repeat	0.0000	0.2349	0	0.6476	0.5267	1	0.0100	0.2858	0	1.0000	0.7926	1	0.3380	0.3701	0
COG1414	K	DNA-binding transcriptional regulator, IclR family	0.0000	0.0101	0	0.0200	0.0230	0	0.0000	0.0057	0	0.0129	0.2999	0	0.0009	0.0724	0
COG1415	S	Uncharacterized conserved protein, DUF763 domain	0.0100	0.9697	1	0.4200	0.9959	1	0.0000	0.9071	1	1.0000	0.9965	1	0.9999	0.9989	1
COG1416	P	Intracellular sulfur oxidation protein, DsrE/DsrF family	0.0000	0.0249	0	0.0300	0.3507	0	0.0000	0.0126	0	0.9924	0.9777	1	0.0007	0.4680	0
COG1417	S	Uncharacterized conserved protein, DUF22 domain	0.0000	0.2449	0	0.2700	0.9722	1	0.0000	0.1571	0	0.8749	0.9596	1	0.0085	0.9157	1
COG1418	JR	HD superfamily phosphodieaserase, includes HD domain of RNase Y	0.0050	0.9351	1	0.9278	0.9820	1	0.0200	0.8658	1	1.0000	0.9917	1	1.0000	0.9914	1
COG1419	N	Flagellar biosynthesis GTPase FlhF	0.0000	0.0017	0	0.0000	0.0015	0	0.0000	0.0011	0	0.0000	0.0022	0	0.0000	0.0008	0
COG1420	K	Transcriptional regulator of heat shock response	0.0000	0.0001	0	0.0000	0.0000	0	0.0000	0.0002	0	0.0000	0.0001	0	0.0000	0.0000	0
COG1421	V	CRISPR-Cas system type III CSM-effector complex small subunit Csm2	0.0000	0.1428	0	0.1400	0.8915	1	0.0000	0.0685	0	0.7604	0.9691	1	0.0054	0.7204	1
COG1422	M	Archaeal YidC/Oxa1-related membrane protein, DUF106 family	0.5100	0.9814	1	0.9200	0.9926	1	0.0300	0.9295	1	1.0000	0.9880	1	0.9999	0.9845	1
COG1423	L	ATP-dependent RNA circularization protein, DNA/RNA ligase (PAB1020)  family	0.0000	0.7210	1	0.9300	0.9779	1	0.0000	0.2888	0	0.9757	0.9967	1	0.1624	0.8941	1
COG1424	H	Pimeloyl-CoA synthetase	0.0000	0.0134	0	0.0100	0.2993	0	0.0000	0.0066	0	0.0018	0.4577	0	0.0000	0.0525	0
COG1426	D	Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains	0.0000	0.0007	0	0.0000	0.0000	0	0.0000	0.0016	0	0.0000	0.0000	0	0.0000	0.0000	0
COG1427	H	Chorismate dehydratase (menaquinone biosynthesis, futalosine pathway)	0.0000	0.1030	0	0.0500	0.6228	1	0.0000	0.0718	0	0.9933	0.8378	1	0.0029	0.5295	1
COG1428	F	Deoxyadenosine/deoxycytidine kinase	0.0000	0.0030	0	0.0000	0.0019	0	0.0000	0.0032	0	0.0000	0.0028	0	0.0000	0.0022	0
COG1429	H	Cobalamin biosynthesis protein CobN, Mg-chelatase	0.0000	0.6358	1	0.0400	0.7724	1	0.0000	0.2464	0	0.9794	0.9899	1	0.2057	0.8372	1
COG1430	S	Uncharacterized conserved membrane protein, UPF0127 family	0.0000	0.2300	0	0.0892	0.3005	0	0.0000	0.1028	0	0.9997	0.7389	1	0.7120	0.4039	0
COG1431	JV	PIWI domain, catalyzes dsRNA-guided hydrolysis of ssRNA, involved in RNA silencing, RNA metabolism and antiviral defense	0.0000	0.1731	0	0.3136	0.6142	1	0.0000	0.0876	0	0.9531	0.9480	1	0.0038	0.6021	1
COG1432	R	NYN domain, predicted PIN-related RNAse, tRNA/rRNA maturation	0.0000	0.5456	1	0.4400	0.8036	1	0.0100	0.4813	0	1.0000	0.9776	1	0.9999	0.8934	1
COG1433	O	Predicted Fe-Mo cluster-binding protein, NifX family	0.0000	0.9241	1	0.8338	0.9990	1	0.0000	0.8858	1	1.0000	1.0000	1	1.0000	0.9996	1
COG1434	M	Lipid carrier protein ElyC involved in cell wall biogenesis, DUF218 family	0.0000	0.0027	0	0.0500	0.0004	0	0.0000	0.0021	0	0.4020	0.0068	0	0.0002	0.0003	0
COG1435	F	Thymidine kinase	0.0000	0.0024	0	0.0000	0.0001	0	0.0000	0.0022	0	1.0000	0.0053	0	0.0441	0.0008	0
COG1436	C	Archaeal/vacuolar-type H+-ATPase subunit F/Vma7	0.0900	0.9741	1	1.0000	0.9989	1	0.5400	0.9657	1	1.0000	0.9997	1	0.9999	0.9993	1
COG1437	TR	Adenylate cyclase class IV, CYTH domain (includes archaeal enzymes of unknown function)	0.0150	0.9527	1	0.6800	0.9964	1	0.0000	0.4358	0	1.0000	0.9999	1	0.9996	0.9993	1
COG1438	K	Arginine repressor	0.0000	0.0014	0	0.0000	0.0005	0	0.0000	0.0015	0	0.0000	0.0055	0	0.0000	0.0011	0
COG1439	J	rRNA maturation endonuclease Nob1	0.4350	0.9967	1	1.0000	0.9997	1	0.6500	0.9927	1	1.0000	1.0000	1	0.9999	0.9999	1
COG1440	G	Phosphotransferase system cellobiose-specific component IIB	0.0000	0.0022	0	0.0000	0.0023	0	0.0000	0.0029	0	0.0000	0.0031	0	0.0000	0.0024	0
COG1441	H	O-succinylbenzoate synthase	0.0000	0.0004	0	0.0000	0.0006	0	0.0000	0.0004	0	0.0000	0.0027	0	0.0000	0.0013	0
COG1442	M	Lipopolysaccharide biosynthesis protein, LPS:glycosyltransferase	0.0000	0.0022	0	0.0000	0.0004	0	0.0000	0.0021	0	0.0000	0.0002	0	0.0000	0.0001	0
COG1443	I	Isopentenyldiphosphate isomerase	0.0000	0.0238	0	0.0300	0.0090	0	0.0000	0.0203	0	1.0000	0.2029	0	0.0061	0.0102	0
COG1444	J	tRNA(Met) C34 N-acetyltransferase TmcA	0.0000	0.7515	1	0.0300	0.8421	1	0.0000	0.2999	0	1.0000	0.9894	1	0.9010	0.9866	1
COG1445	G	Phosphotransferase system fructose-specific component IIB	0.0000	0.0024	0	0.0000	0.0025	0	0.0000	0.0020	0	0.0002	0.0769	0	0.0000	0.0053	0
COG1446	E	Isoaspartyl peptidase or L-asparaginase, Ntn-hydrolase superfamily	0.0200	0.4498	0	0.9100	0.6572	1	0.2400	0.4231	0	1.0000	0.9758	1	0.9993	0.9094	1
COG1447	G	Phosphotransferase system cellobiose-specific component IIA	0.0000	0.0018	0	0.0000	0.0013	0	0.0000	0.0020	0	0.0000	0.0018	0	0.0000	0.0015	0
COG1448	E	Aspartate/aromatic aminotransferase	0.0000	0.0005	0	0.0000	0.0001	0	0.0000	0.0004	0	0.0000	0.0002	0	0.0000	0.0004	0
COG1449	G	Alpha-amylase/alpha-mannosidase, GH57 family	0.0000	0.5061	1	0.7976	0.9885	1	0.0000	0.3665	0	1.0000	0.9994	1	0.9849	0.9955	1
COG1450	U	Type II secretory pathway component GspD/PulD (secretin)	0.0000	0.0008	0	0.0000	0.0002	0	0.0000	0.0012	0	0.0000	0.0001	0	0.0000	0.0001	0
COG1451	R	UTP pyrophosphatase, metal-dependent hydrolase family	0.0000	0.3070	0	0.2400	0.2648	0	0.0000	0.1849	0	1.0000	0.5617	1	0.9888	0.3188	0
COG1452	M	LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA)	0.0000	0.0001	0	0.0000	0.0000	0	0.0000	0.0002	0	0.0000	0.0000	0	0.0000	0.0000	0
COG1453	R	Predicted oxidoreductase of the aldo/keto reductase family	0.0000	0.1798	0	0.2400	0.4784	0	0.0000	0.0956	0	1.0000	0.8890	1	0.9777	0.7730	1
COG1454	C	Alcohol dehydrogenase, class IV	0.0100	0.8611	1	0.2800	0.6441	1	0.0000	0.5189	1	1.0000	0.9625	1	0.9999	0.9311	1
COG1455	G	Phosphotransferase system cellobiose-specific component IIC	0.0000	0.0010	0	0.0000	0.0003	0	0.0000	0.0011	0	0.0000	0.0002	0	0.0000	0.0003	0
COG1456	C	CO dehydrogenase/acetyl-CoA synthase gamma subunit (corrinoid Fe-S protein)	0.0000	0.8684	1	0.7720	0.9998	1	0.0200	0.9612	1	1.0000	0.9999	1	0.9995	0.9999	1
COG1457	F	Purine-cytosine permease or related protein	0.0100	0.2806	0	0.8700	0.6731	1	0.0300	0.2286	0	0.9999	0.9676	1	0.7292	0.8013	1
COG1458	R	Predicted RNase MK1237, contains PIN domain, UPF0278 family	0.0000	0.6407	1	0.2900	0.9837	1	0.0100	0.3930	0	0.9759	0.9997	1	0.1634	0.9759	1
COG1459	NUW	Type II secretory pathway, component PulF	0.0000	0.0008	0	0.0000	0.0000	0	0.0000	0.0015	0	0.0000	0.0000	0	0.0000	0.0000	0
COG1460	K	DNA-directed RNA polymerase, subunit F	0.0100	0.9957	1	0.3000	0.9996	1	0.0000	0.9573	1	1.0000	0.9998	1	0.9999	0.9999	1
COG1461	R	Predicted kinase related to dihydroxyacetone kinase	0.0000	0.0080	0	0.0000	0.0014	0	0.0000	0.0061	0	0.0000	0.0125	0	0.0000	0.0038	0
COG1462	M	Curli biogenesis system outer membrane secretion channel CsgG	0.0000	0.0023	0	0.0000	0.0015	0	0.0000	0.0017	0	0.0000	0.0050	0	0.0000	0.0017	0
COG1463	M	Periplasmic subunit MlaD of the ABC-type intermembrane phospholipid transporter Mla	0.0000	0.0006	0	0.0000	0.0000	0	0.0000	0.0011	0	0.0000	0.0000	0	0.0000	0.0000	0
COG1464	P	ABC-type metal ion transport system, periplasmic component/surface antigen	0.0000	0.0002	0	0.0000	0.0000	0	0.0000	0.0004	0	0.0000	0.0000	0	0.0000	0.0000	0
COG1465	E	3-dehydroquinate synthase, class II	0.5750	0.9716	1	0.9800	0.9348	1	0.4500	0.9648	1	1.0000	0.9608	1	0.9999	0.9696	1
COG1466	L	DNA polymerase III, delta subunit	0.0000	0.0013	0	0.0000	0.0000	0	0.0000	0.0021	0	0.0000	0.0000	0	0.0000	0.0000	0
COG1467	L	Eukaryotic-type DNA primase, catalytic (small) subunit	0.0050	0.9969	1	0.2900	0.9997	1	0.0000	0.9649	1	1.0000	1.0000	1	0.9999	1.0000	1
COG1468	V	CRISPR/Cas system-associated exonuclease Cas4, RecB family	0.0000	0.9899	1	0.9772	1.0000	1	0.2000	0.9771	1	1.0000	1.0000	1	1.0000	1.0000	1
COG1469	H	GTP cyclohydrolase FolE2	0.0000	0.9530	1	0.9600	0.9976	1	0.1200	0.9610	1	1.0000	0.9993	1	0.9999	0.9985	1
COG1470	S	Uncharacterized membrane protein	0.2450	0.5666	1	0.9012	0.7917	1	0.0100	0.3645	0	1.0000	0.9008	1	0.0816	0.6114	1
COG1471	J	Ribosomal protein S4E	0.0000	0.9884	1	0.3700	0.9999	1	0.0100	0.9969	1	1.0000	0.9997	1	1.0000	0.9999	1
COG1472	G	Periplasmic beta-glucosidase and related glycosidases	0.0000	0.0196	0	0.0100	0.0099	0	0.0000	0.0155	0	0.9982	0.1896	0	0.0131	0.0424	0
COG1473	R	Metal-dependent amidase/aminoacylase/carboxypeptidase	0.0000	0.1735	0	0.0000	0.0675	0	0.0000	0.0641	0	1.0000	0.8941	1	0.9933	0.5832	1
COG1474	L	Cdc6-related protein, AAA superfamily ATPase	0.0000	0.9916	1	0.9930	0.9998	1	0.2000	0.9977	1	1.0000	0.9999	1	1.0000	0.9998	1
COG1475	D	Chromosome segregation protein Spo0J, contains ParB-like nuclease domain	0.0000	0.7789	1	0.9796	0.9268	1	0.0000	0.6914	1	1.0000	0.9957	1	0.9999	0.9839	1
COG1476	K	DNA-binding transcriptional regulator, XRE-family HTH domain	0.0050	0.5558	1	0.7500	0.6646	1	0.0000	0.1155	0	1.0000	0.7686	1	0.9993	0.6864	1
COG1477	HO	FAD:protein FMN transferase ApbE	0.0000	0.0114	0	0.1700	0.0114	0	0.0000	0.0082	0	0.3250	0.0705	0	0.0000	0.0007	0
COG1478	H	F420-0:Gamma-glutamyl ligase (F420 biosynthesis)	0.1450	0.9724	1	1.0000	0.9999	1	0.2600	0.9249	1	1.0000	1.0000	1	1.0000	0.9999	1
COG1479	V	DNAse/DNA nickase specific for phosphorothioated or glycosylated phage DNA, GmrSD/DndB/SspE family, contains DUF262 and HNH nuclease domains	0.0000	0.2368	0	0.0000	0.1520	0	0.0000	0.1236	0	0.9667	0.9378	1	0.1866	0.3262	0
COG1480	T	Cyclic di-AMP-specific phosphodiesterase PgpH, HD superfamily	0.0000	0.0037	0	0.0000	0.0240	0	0.0000	0.0016	0	0.0000	0.0851	0	0.0000	0.0179	0
COG1481	K	DNA-binding transcriptional regulator WhiA, involved in cell division	0.0000	0.0061	0	0.0000	0.0095	0	0.0000	0.0051	0	0.0000	0.0708	0	0.0000	0.0065	0
COG1482	G	Mannose-6-phosphate isomerase, class I	0.0000	0.0261	0	0.0000	0.0053	0	0.0000	0.0220	0	0.0044	0.0429	0	0.0000	0.0033	0
COG1483	R	Predicted ATPase, AAA+ superfamily	0.0000	0.3120	0	0.2800	0.8985	1	0.0000	0.1838	0	1.0000	0.9948	1	0.1573	0.9005	1
COG1484	L	DNA replication protein DnaC	0.0000	0.0158	0	0.0800	0.0413	0	0.0000	0.0127	0	0.0128	0.1894	0	0.0002	0.0162	0
COG1485	D	Cell division protein ZapE (Z ring-associated ATPase), AFG1 superfamily	0.0000	0.0072	0	0.0000	0.0042	0	0.0000	0.0090	0	0.0000	0.0259	0	0.0000	0.0087	0
COG1486	G	Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase	0.0000	0.0280	0	0.2100	0.0737	0	0.0000	0.0286	0	1.0000	0.5913	1	0.6623	0.3293	0
COG1487	V	Ribonuclease/mRNA interferase VapC, contains PIN domain	0.1600	0.9468	1	0.9978	0.9958	1	0.8100	0.8958	1	1.0000	0.9990	1	1.0000	0.9967	1
COG1488	H	Nicotinic acid phosphoribosyltransferase	0.0100	0.9682	1	0.7452	0.9753	1	0.0000	0.8737	1	1.0000	0.9997	1	0.9999	0.9939	1
COG1489	GT	DNA-binding protein, stimulates sugar fermentation	0.0050	0.8426	1	0.2300	0.8945	1	0.0000	0.5701	1	1.0000	0.9977	1	0.9995	0.9902	1
COG1490	J	D-aminoacyl-tRNA deacylase	0.0000	0.0066	0	0.0000	0.0013	0	0.0000	0.0051	0	0.0000	0.0292	0	0.0000	0.0062	0
COG1491	R	Predicted nucleic acid-binding OB-fold protein	0.0050	0.9953	1	0.9300	1.0000	1	0.2900	0.9959	1	1.0000	0.9998	1	0.9999	0.9999	1
COG1492	H	Cobyric acid synthase	0.0050	0.8963	1	0.2872	0.8228	1	0.0000	0.2471	0	1.0000	0.9985	1	0.7309	0.9374	1
COG1493	T	Serine kinase of the HPr protein, regulates carbohydrate metabolism	0.0000	0.0019	0	0.3300	0.0057	0	0.0000	0.0027	0	0.9993	0.0078	0	0.0122	0.0019	0
COG1494	G	Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein	0.0000	0.0138	0	0.0300	0.0801	0	0.0000	0.0302	0	0.9434	0.2993	0	0.0001	0.0520	0
COG1495	O	Disulfide bond formation protein DsbB	0.0000	0.0008	0	0.0200	0.0005	0	0.0000	0.0013	0	0.1079	0.0034	0	0.0000	0.0002	0
COG1496	P	Copper oxidase (laccase) domain	0.0000	0.0007	0	0.0000	0.0000	0	0.0000	0.0007	0	0.0000	0.0001	0	0.0000	0.0000	0
COG1497	K	Predicted transcriptional regulator MJ0558, contains a CRP-type HTH domain	0.0050	0.6833	1	0.8549	0.9218	1	0.0000	0.1761	0	0.9899	0.9952	1	0.0207	0.8081	1
COG1498	J	Box C/D ribonucleoprotein Nop56/Prp31/SIK1 subunit	0.0550	0.9927	1	0.9800	0.9998	1	0.6000	0.9945	1	1.0000	0.9999	1	0.9999	0.9999	1
COG1499	J	NMD protein affecting ribosome stability and mRNA decay	0.0350	0.9853	1	0.9800	0.9999	1	0.0000	0.7952	1	1.0000	1.0000	1	0.9997	0.9998	1
COG1500	J	Ribosome maturation protein Sdo1	0.0050	0.9976	1	0.5800	0.9999	1	0.0000	0.9755	1	1.0000	0.9999	1	0.9999	1.0000	1
COG1501	G	Alpha-glucosidase/xylosidase, GH31 family	0.0000	0.0189	0	0.2500	0.0807	0	0.0000	0.0187	0	0.9998	0.5632	1	0.0980	0.1779	0
COG1502	I	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase	0.0000	0.3852	0	0.9030	0.5951	1	0.0100	0.6684	1	1.0000	0.4540	0	0.3297	0.2447	0
COG1503	J	Peptide chain release factor 1 (eRF1)	0.0000	0.9890	1	0.9800	1.0000	1	0.2100	0.9976	1	1.0000	1.0000	1	0.9999	1.0000	1
COG1504	S	Uncharacterized conserved protein, DUF498 domain	0.0000	0.5092	1	0.8100	0.9875	1	0.0000	0.5338	1	1.0000	0.9843	1	0.9985	0.9902	1
COG1505	E	Prolyl endopeptidase PreP, S9A serine peptidase family	0.0000	0.0325	0	0.1100	0.0525	0	0.0000	0.0095	0	1.0000	0.5247	1	0.0184	0.1048	0
COG1506	E	Dipeptidyl aminopeptidase/acylaminoacyl peptidase	0.0050	0.5088	1	0.4753	0.3930	0	0.0200	0.2425	0	1.0000	0.9447	1	1.0000	0.7864	1
COG1507	S	Uncharacterized conserved protein, DUF501 family	0.0000	0.0070	0	0.0000	0.0254	0	0.0000	0.0051	0	0.0000	0.1622	0	0.0000	0.0424	0
COG1508	K	DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog	0.0000	0.0106	0	0.0000	0.0007	0	0.0000	0.0107	0	0.0000	0.0026	0	0.0000	0.0007	0
COG1509	E	L-lysine 2,3-aminomutase (EF-P beta-lysylation pathway)	0.0000	0.2191	0	0.2400	0.4542	0	0.0200	0.3734	0	1.0000	0.8315	1	0.9419	0.7394	1
COG1510	K	DNA-binding transcriptional regulator GbsR, MarR family	0.2350	0.7661	1	1.0000	0.8284	1	0.9000	0.7841	1	1.0000	0.8111	1	0.6563	0.6541	1
COG1511	S	Uncharacterized membrane protein YhgE, phage infection protein (PIP) family	0.0000	0.0190	0	0.0000	0.0051	0	0.0000	0.0120	0	0.0007	0.0608	0	0.0000	0.0031	0
COG1512	S	Uncharacterized membrane protein YgcG, contains a TPM-fold domain	0.0000	0.0191	0	0.0000	0.0017	0	0.0000	0.0190	0	0.0000	0.0005	0	0.0000	0.0008	0
COG1513	P	Cyanate lyase	0.0000	0.0737	0	0.0000	0.0617	0	0.0000	0.0300	0	0.0000	0.7021	1	0.0000	0.1559	0
COG1514	J	RNA 2',3'-cyclic phosphodiesterase (2'-5' RNA ligase)	0.1500	0.9957	1	0.9800	0.9998	1	0.3500	0.9946	1	1.0000	1.0000	1	0.9999	0.9999	1
COG1515	L	Deoxyinosine 3'-endonuclease (endonuclease V)	0.0000	0.9383	1	1.0000	0.9971	1	0.2000	0.9677	1	1.0000	0.9999	1	0.9999	0.9993	1
COG1516	NU	Flagellin-specific chaperone FliS	0.0000	0.0019	0	0.0000	0.0007	0	0.0000	0.0016	0	0.0000	0.0028	0	0.0000	0.0011	0
COG1517	V	CRISPR/Cas system-associated protein Csx1, contains CARF domain	0.0000	0.2990	0	0.8483	0.9805	1	0.0000	0.1301	0	1.0000	0.9930	1	0.7119	0.9421	1
COG1518	V	CRISPR-Cas system-associated integrase Cas1	0.0200	0.9902	1	0.0500	0.9999	1	0.0000	0.8713	1	1.0000	1.0000	1	0.9999	0.9999	1
COG1519	M	3-deoxy-D-manno-octulosonic-acid transferase	0.0000	0.0008	0	0.0000	0.0001	0	0.0000	0.0014	0	0.0000	0.0000	0	0.0000	0.0001	0
COG1520	M	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat	0.1700	0.8022	1	0.0395	0.5500	1	0.0000	0.3316	0	1.0000	0.9303	1	0.9846	0.8156	1
COG1521	H	Pantothenate kinase type III	0.0000	0.0031	0	0.0000	0.0012	0	0.0000	0.0021	0	0.0000	0.0408	0	0.0000	0.0027	0
COG1522	K	DNA-binding transcriptional regulator, Lrp family	0.0050	0.9990	1	1.0000	0.9994	1	0.5775	0.9992	1	1.0000	0.9999	1	1.0000	0.9999	1
COG1523	G	Pullulanase/glycogen debranching enzyme	0.0000	0.0064	0	0.0000	0.0014	0	0.0000	0.0090	0	0.4270	0.2139	0	0.0043	0.0284	0
COG1524	T	c-di-AMP phosphodiesterase AtaC or nucleotide pyrophosphatase, AlkP superfamily	0.0000	0.2526	0	0.1367	0.3926	0	0.0000	0.1984	0	1.0000	0.8749	1	0.9999	0.7276	1
