COG_ID	input_prob	input_present	candidate	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG1905	1	1	1	0.923348	0.140101	0.757954	0.277832	0.468352	0.297312	0.165394	0.454996	-0.684636	0.850325	0.9125
COG1906	1	1	1	0.984673	0.00821832	0.849357	0.0786641	0.424196	0.189054	0.135315	0.560477	2.75146	0.476815	0.5125
COG1907	1	1	1	1	5.42042e-07	0.999997	4.57366e-06	0.999968	3.85797e-05	3.09944e-06	3.14713e-05	13.408	0.996408	1
COG1908	1	1	1	0.999404	0.00133524	0.993956	0.0121183	0.945829	0.0844174	0.00544786	0.0535752	5.37352	0.886355	0.953125
COG1909	1	1	1	0.999986	2.23915e-05	0.999855	0.000205945	0.998246	0.00212967	0.000131011	0.00174057	10.06	0.962711	0.996875
COG1910	0.9997	1	1	0.959067	0.0176955	0.716393	0.0799986	0.255821	0.104215	0.242674	0.703246	1.24831	0.648738	0.621875
COG1911	1	1	1	0.998586	0.00362791	0.983354	0.0410263	0.891586	0.19673	0.0152324	0.107	5.5541	0.436073	0.428125
COG1912	1	1	1	0.999858	0.000203944	0.998812	0.00190784	0.992514	0.0121023	0.00104588	0.00734425	6.43494	0.990054	1
COG1913	1	1	1	0.999112	0.00115759	0.989984	0.0141505	0.917819	0.107353	0.00912857	0.0812934	5.08915	0.931211	0.984375
COG1914	0.9998	1	1	0.980989	0.0203209	0.887018	0.0980889	0.595307	0.241239	0.0939705	0.385682	0.861737	0.831062	0.91875
COG1915	1	1	1	0.997664	0.00188675	0.97621	0.0213581	0.838713	0.13914	0.0214548	0.158951	4.20698	0.801842	0.86875
COG1916	0.9994	1	1	0.986346	0.0118255	0.909782	0.0757715	0.649763	0.204714	0.0765645	0.336583	2.44134	0.977297	1
COG1917	1	1	1	0.999594	0.00035102	0.998043	0.0014668	0.98981	0.00678795	0.00155067	0.00978422	3.62317	0.999661	1
COG1918	1	1	1	0.995951	0.00478567	0.962356	0.0487843	0.798026	0.19414	0.033595	0.197925	1.62383	0.657619	0.6375
COG1920	1	1	1	0.999444	0.000671038	0.995251	0.00643078	0.965851	0.050348	0.00419289	0.0335934	5.16202	0.940981	0.99375
COG1921	0.1827	1	1	0.699971	0.206644	0.63338	0.231382	0.299144	0.258524	0.066591	0.400827	0.147859	0.642081	0.66875
COG1923	0.0139	1	1	0.142552	0.203982	0.140227	0.201027	0.0277262	0.0387589	0.00232513	0.114826	-3.02607	0.0325687	0
COG1924	1	1	1	0.999873	0.000220691	0.99846	0.002271	0.986967	0.0170001	0.00141263	0.0129054	5.24005	0.948617	1
COG1925	0.0135	1	1	2.48998e-05	3.637e-05	2.41309e-05	3.52681e-05	2.48849e-06	3.84714e-06	7.689e-07	2.24113e-05	-13.5517	0.0420681	0.003125
COG1926	1	1	1	0.999026	0.000911621	0.990539	0.0113183	0.938548	0.0779729	0.00848705	0.0604783	4.32183	0.961284	1
COG1927	1	1	1	0.995701	0.00720681	0.974707	0.0380308	0.881425	0.136718	0.0209944	0.114276	6.815	0.63647	0.6125
COG1930	0.1426	1	1	0.868518	0.101764	0.833739	0.124488	0.466538	0.234148	0.0347791	0.40198	2.93437	0.476091	0.471875
COG1931	1	1	1	0.999027	0.00178337	0.992317	0.012618	0.943184	0.0722417	0.00671005	0.0558434	6.87164	0.717854	0.7375
COG1933	1	1	1	0.998925	0.00116041	0.984368	0.0174259	0.851448	0.16095	0.0145567	0.147477	3.99451	0.946686	1
COG1935	0.5105	1	1	0.986258	0.0194012	0.972577	0.0378782	0.908615	0.105248	0.0136809	0.0776431	8.66464	0.350108	0.3375
COG1936	1	1	1	0.999925	7.63146e-05	0.998896	0.00102892	0.983353	0.0151863	0.00102824	0.0165721	7.10775	0.974032	1
COG1937	0.0026	1	1	0.106954	0.177552	0.106558	0.177207	0.0201543	0.0462895	0.000395156	0.0867992	-3.77219	0.136371	0.0125
COG1938	1	1	1	0.999952	7.27581e-05	0.999212	0.00120803	0.986875	0.0199497	0.000739515	0.0130771	6.28979	0.975492	1
COG1940	1	1	1	0.592254	0.276809	0.279023	0.287473	0.127548	0.277999	0.313231	0.464706	-2.8588	0.857335	0.90625
COG1941	1	1	1	0.999553	0.000648577	0.993727	0.00838227	0.941138	0.065344	0.00582618	0.0584148	4.68697	0.919963	0.984375
COG1942	1	1	1	0.533951	0.171834	0.149017	0.184225	0.0333664	0.0700111	0.384934	0.500584	-2.74739	0.527666	0.5125
COG1943	1	1	1	0.957333	0.0306452	0.730069	0.140516	0.304922	0.260548	0.227264	0.652411	-0.705088	0.881684	0.95625
COG1944	0.9989	1	1	0.984208	0.0123768	0.904799	0.0613229	0.614288	0.208313	0.0794096	0.36992	2.43949	0.87669	0.9375
COG1945	1	1	1	0.999975	4.22945e-05	0.999541	0.000898259	0.992282	0.0162588	0.000433683	0.00769281	7.45474	0.982437	1
COG1948	0.9999	1	1	0.984291	0.019496	0.850981	0.150279	0.482315	0.260719	0.133311	0.501976	1.67395	0.673387	0.65625
COG1951	1	1	1	0.999935	6.39365e-05	0.999045	0.000993146	0.987652	0.0134102	0.000890255	0.0122832	5.60571	0.920498	0.9875
COG1953	0.0142	1	1	0.0615075	0.0319328	0.0596135	0.0309898	0.00635341	0.00362426	0.001894	0.0551541	-3.16536	0.0450607	0
COG1955	0.9999	1	1	0.999855	0.000104917	0.999002	0.000742263	0.993077	0.00592073	0.00085336	0.00677824	9.85959	0.845458	0.9125
COG1956	0.9997	1	1	0.265758	0.174038	0.0411946	0.0420033	0.00463592	0.00506151	0.224563	0.261122	-4.29443	0.250965	0.165625
COG1957	0.9999	1	1	0.400565	0.189515	0.0777962	0.0881493	0.0106841	0.0168451	0.322769	0.389881	-4.00289	0.563956	0.515625
COG1958	1	1	1	0.999997	8.86145e-06	0.999955	0.000115659	0.999304	0.00163512	4.19021e-05	0.000692606	10.5838	0.986525	1
COG1960	1	1	1	0.59733	0.344389	0.469937	0.376245	0.31335	0.333662	0.127393	0.28398	-1.4044	0.991224	1
COG1961	1	1	1	0.382863	0.306507	0.170962	0.308339	0.0919259	0.245417	0.211901	0.290938	-2.79654	0.776139	0.83125
COG1962	1	1	1	0.999591	0.000370655	0.995639	0.00458821	0.960261	0.0489494	0.00395292	0.039331	7.56784	0.833834	0.91875
COG1964	1	1	1	0.999668	0.000375127	0.996002	0.00389242	0.95535	0.0385058	0.00366563	0.0443178	5.3599	0.8761	0.971875
COG1966	1	1	1	0.858206	0.0913708	0.476378	0.115634	0.119637	0.0497267	0.381829	0.738569	-1.31406	0.60983	0.56875
COG1967	0.9758	1	1	0.99764	0.0043119	0.984852	0.0223036	0.902212	0.10158	0.0127879	0.0954282	7.1324	0.854724	0.9
COG1968	1	1	1	0.77739	0.2389	0.494208	0.313689	0.216142	0.277264	0.283182	0.561248	-2.9777	0.777186	0.84375
COG1970	1	1	1	0.513104	0.299073	0.220839	0.306669	0.114859	0.270801	0.292265	0.398246	-2.38943	0.796046	0.859375
COG1971	0.9999	1	1	0.630621	0.11027	0.185864	0.0880929	0.0247552	0.0159512	0.444757	0.605865	-2.87986	0.407722	0.425
COG1973	0.9998	1	1	0.999305	0.000874612	0.996237	0.00467055	0.979937	0.0236716	0.00306779	0.0193679	9.16955	0.63922	0.6375
COG1975	1	1	1	0.865922	0.133766	0.675042	0.217188	0.41693	0.288542	0.190881	0.448993	-0.114115	0.903635	0.93125
COG1976	1	1	1	0.999953	6.42597e-05	0.999406	0.000765935	0.991525	0.0095881	0.000547767	0.00842845	8.34877	0.910137	0.9875
COG1977	1	1	1	0.999952	6.45942e-05	0.999723	0.000301537	0.998562	0.00190427	0.000229359	0.00139099	6.5104	0.999402	1
COG1980	1	1	1	0.982487	0.0525135	0.93617	0.191068	0.90435	0.279583	0.0463163	0.0781366	5.37873	0.559696	0.58125
COG1982	0.2312	1	1	0.0822188	0.080389	0.0518902	0.0549846	0.00609166	0.00774592	0.0303285	0.0761271	-4.37602	0.0851585	0.00625
COG1983	1	1	1	0.818787	0.164195	0.474389	0.27787	0.203825	0.287669	0.344398	0.614963	-0.560144	0.568413	0.528125
COG1984	0.9529	1	1	0.944161	0.059891	0.798767	0.173737	0.545828	0.283797	0.145394	0.398333	1.12292	0.74848	0.80625
COG1985	1	1	1	0.999877	0.000171585	0.998793	0.00195851	0.990807	0.015393	0.00108385	0.00907004	6.03744	0.989792	1
COG1986	1	1	1	0.999981	1.91829e-05	0.999723	0.000249516	0.995674	0.00385112	0.000258744	0.00430745	7.79153	0.989443	1
COG1988	1	1	1	0.846823	0.207735	0.566581	0.272641	0.212654	0.179296	0.280242	0.634169	-0.220119	0.458753	0.478125
COG1989	1	1	1	0.997896	0.00460075	0.980487	0.0437034	0.903143	0.189953	0.0174086	0.0947529	1.32246	0.957776	1
COG1990	1	1	1	0.999827	0.000151449	0.997381	0.00257304	0.959357	0.0464703	0.00244588	0.0404701	5.70477	0.982479	1
COG1991	0.8807	1	1	0.713999	0.270199	0.511338	0.27667	0.275809	0.205133	0.20266	0.43819	4.56881	0.0198751	0
COG1992	1	1	1	0.98806	0.00878966	0.902626	0.0734361	0.59588	0.240242	0.0854341	0.392181	5.21544	0.840396	0.9375
COG1993	1	1	1	0.997001	0.00131236	0.978899	0.00872131	0.875376	0.0644139	0.0181025	0.121625	4.00381	0.81469	0.9375
COG1994	1	1	1	0.955663	0.0995187	0.837374	0.250927	0.588903	0.305388	0.118289	0.366761	-0.316836	0.962521	1
COG1995	0.9946	1	1	0.0828913	0.136385	0.0170776	0.03571	0.00301676	0.00683786	0.0658137	0.0798745	-5.61385	0.33448	0.3
COG1996	0.9131	1	1	0.997899	0.00217573	0.976752	0.0238894	0.798287	0.157519	0.0211471	0.199611	3.31561	0.92171	0.996875
COG1997	1	1	1	0.999974	2.47376e-05	0.999553	0.000397303	0.991558	0.00808252	0.000420749	0.00841606	7.92504	0.937153	0.996875
COG1998	1	1	1	0.999864	0.000125066	0.997778	0.00172407	0.960915	0.0276749	0.0020858	0.0389495	6.60645	0.907747	0.990625
COG1999	0.9863	1	1	0.0379979	0.0935616	0.00934141	0.0246681	0.00189225	0.00506191	0.0286565	0.0361057	-5.97685	0.224329	0.15625
COG2000	0.1396	1	1	0.862081	0.0986345	0.822226	0.118892	0.376176	0.187783	0.0398551	0.485905	2.24649	0.164875	0.059375
COG2002	1	1	1	0.9992	0.000667184	0.991191	0.0067733	0.922085	0.0560659	0.00800848	0.0771142	2.80185	0.909588	1
COG2003	0.5189	1	1	0.104093	0.118585	0.038576	0.0529838	0.00465696	0.00799453	0.0655173	0.0994364	-5.94804	0.434844	0.421875
COG2004	1	1	1	0.999976	2.97607e-05	0.999647	0.000395628	0.994159	0.0060093	0.000328362	0.00581694	8.66538	0.939629	0.996875
COG2005	1	1	1	0.994601	0.00424733	0.961592	0.0260284	0.793701	0.122	0.0330094	0.2009	2.69587	0.923373	0.9875
COG2006	1	1	1	0.999875	0.000218446	0.998241	0.00324412	0.979009	0.0396953	0.00163394	0.0208659	5.57926	0.989073	1
COG2007	1	1	1	0.999928	0.000166101	0.998979	0.00229018	0.985173	0.0301679	0.000949383	0.0147557	7.54226	0.924927	0.996875
COG2009	0.9999	1	1	0.559332	0.359689	0.36261	0.309534	0.15778	0.165942	0.196722	0.401552	-1.36225	0.783268	0.878125
